"JOAO BORTOLANZA";"PT";"634";"2.74";"ANDRADINA";"1982"
"ARNALDO SILVA LEAO";"PTB";"506";"2.19";"ANDRADINA";"1982"
"JOAO CARLOS CARREIRA";"PMDB";"9133";"39.46";"ANDRADINA";"1982"
"ROBERTO MIGUEL CURY";"PDS";"4080";"17.63";"ANDRADINA";"1982"
"PEDRO AYRES DE SOUZA";"PMDB";"2716";"11.73";"ANDRADINA";"1982"
"ANTONIO FRANCISCO FONZAR";"PDS";"1909";"8.25";"ANDRADINA";"1982"
"OSMAR SILVEIRA";"PDS";"1040";"4.49";"ANDRADINA";"1982"
"YNACIO AKIRA HIRATA";"PTB";"783";"3.38";"ANDRADINA";"1982"
"OSVALDO GASPARELLI";"PTB";"648";"2.8";"ANDRADINA";"1982"
"JOAO BORTOLANZA";"PT";"634";"2.74";"ANDRADINA";"1982"
"ARNALDO SILVA LEAO";"PTB";"506";"2.19";"ANDRADINA";"1982"
"JOSE EMILIO CARLOS LISBOA";"PMDB";"3451";"48.11";"ANGATUBA";"1982"
"ENIL BORIS DE MORAIS FERREIRA";"PMDB";"1712";"23.87";"ANGATUBA";"1982"
"PAULO DE ALMEIDA LEME";"PMDB";"620";"8.64";"ANGATUBA";"1982"
"RUBENS VIEIRA DE MORAIS";"PDS";"540";"7.53";"ANGATUBA";"1982"
"BENEDITO HENRIQUE HERGESSEL";"PTB";"122";"1.7";"ANGATUBA";"1982"
"ALICE QUINTILIANO DE CAMARGO";"PDT";"35";"0.49";"ANGATUBA";"1982"
"JOSE EMILIO CARLOS LISBOA";"PMDB";"3451";"48.11";"ANGATUBA";"1982"
"ENIL BORIS DE MORAIS FERREIRA";"PMDB";"1712";"23.87";"ANGATUBA";"1982"
"PAULO DE ALMEIDA LEME";"PMDB";"620";"8.64";"ANGATUBA";"1982"
"RUBENS VIEIRA DE MORAIS";"PDS";"540";"7.53";"ANGATUBA";"1982"
"BENEDITO HENRIQUE HERGESSEL";"PTB";"122";"1.7";"ANGATUBA";"1982"
"ALICE QUINTILIANO DE CAMARGO";"PDT";"35";"0.49";"ANGATUBA";"1982"
"IRACY MARIO GUGLIEMO MEZZENA";"PDS";"707";"35.07";"ANHEMBI";"1982"
"ABRAO JACOB";"PDS";"386";"19.15";"ANHEMBI";"1982"
"PAULO JOSE CONCEICAO";"PMDB";"366";"18.15";"ANHEMBI";"1982"
"SERGIO FELIX DO PRADO";"PMDB";"293";"14.53";"ANHEMBI";"1982"
"BENEDITO DE QUADROS";"PDS";"103";"5.11";"ANHEMBI";"1982"
"IRACY MARIO GUGLIEMO MEZZENA";"PDS";"707";"35.07";"ANHEMBI";"1982"
"ABRAO JACOB";"PDS";"386";"19.15";"ANHEMBI";"1982"
"PAULO JOSE CONCEICAO";"PMDB";"366";"18.15";"ANHEMBI";"1982"
"SERGIO FELIX DO PRADO";"PMDB";"293";"14.53";"ANHEMBI";"1982"
"BENEDITO DE QUADROS";"PDS";"103";"5.11";"ANHEMBI";"1982"
"LUIZ ROCHEDO GARDIN";"PDS";"913";"58.94";"ANHUMAS";"1982"
"PAULO DELATORRE TETE";"PMDB";"464";"29.95";"ANHUMAS";"1982"
"LUIZ ROCHEDO GARDIN";"PDS";"913";"58.94";"ANHUMAS";"1982"
"PAULO DELATORRE TETE";"PMDB";"464";"29.95";"ANHUMAS";"1982"
"ARISTEU VIEIRA VILELA";"PMDB";"4521";"27.67";"APARECIDA";"1982"
"LUIZ RIBEIRO DE CASTILHO";"PDS";"3379";"20.68";"APARECIDA";"1982"
"MANOEL ALVES NUNES";"PMDB";"3226";"19.74";"APARECIDA";"1982"
"JOSE BENEDITO DE MORAES";"PDS";"1994";"12.2";"APARECIDA";"1982"
"JOSE NAGIB ASSIS";"PMDB";"848";"5.19";"APARECIDA";"1982"
"LUIZ ANTONIO DE MOURA";"PT";"568";"3.48";"APARECIDA";"1982"
"BENEDICTO LOURENCO BARBOSA";"PTB";"248";"1.52";"APARECIDA";"1982"
"JOSE BENEDITO DA SILVA";"PDT";"58";"0.35";"APARECIDA";"1982"
"FRANCISCA CONCEICAO BENTO";"PTB";"58";"0.35";"APARECIDA";"1982"
"ARISTEU VIEIRA VILELA";"PMDB";"4521";"27.67";"APARECIDA";"1982"
"LUIZ RIBEIRO DE CASTILHO";"PDS";"3379";"20.68";"APARECIDA";"1982"
"MANOEL ALVES NUNES";"PMDB";"3226";"19.74";"APARECIDA";"1982"
"JOSE BENEDITO DE MORAES";"PDS";"1994";"12.2";"APARECIDA";"1982"
